year,2007.0,2007.0,2007.0,2007.0,2010.0,2010.0,2010.0,2010.0,2012.0,2012.0,2012.0,2012.0,2014.0,2014.0,2014.0,2014.0,2016.0,2016.0,2016.0,2016.0
,mean,std,sem,count,mean,std,sem,count,mean,count,std,sem,mean,std,count,sem,std,mean,sem,count
Aquifer basin,,,,,,,,,,,,,,,,,,,,
Arava,5.8,0.0,0.0,48.0,6.6,0.0,0.0,46.0,1.8,42.0,0.0,0.0,2.5,0.0,48.0,0.0,0.0,3.0,0.0,44.0
Carmel,9.8,0.3,0.0,93.0,5.1,0.5,0.0,228.0,4.0,266.0,0.5,0.0,6.2,0.1,313.0,0.0,0.0,4.9,0.0,337.0
Central Negev,5.4,0.0,0.0,11.0,3.8,1.6,0.5,11.0,2.5,23.0,0.2,0.0,2.7,0.0,73.0,0.0,0.0,2.3,0.0,123.0
Coastal,6.3,1.0,0.0,1440.0,3.2,0.6,0.0,1985.0,3.2,2237.0,0.8,0.0,3.5,0.8,2073.0,0.0,1.2,3.4,0.0,2322.0
Eastern Mount,10.6,1.2,0.0,685.0,5.9,1.5,0.0,953.0,6.5,1365.0,2.0,0.1,7.8,1.4,1436.0,0.0,1.2,5.8,0.0,1394.0
Eastern Negev,5.7,0.2,0.0,33.0,5.5,1.8,0.3,37.0,2.0,49.0,0.4,0.1,2.5,0.3,93.0,0.0,2.2,4.1,0.2,112.0
Kinneret,7.8,0.1,0.0,622.0,4.8,0.4,0.0,639.0,8.9,928.0,0.4,0.0,7.6,0.3,530.0,0.0,0.2,6.5,0.0,245.0
West Galilee,9.8,0.5,0.0,426.0,4.9,1.2,0.1,546.0,4.9,673.0,1.0,0.0,6.3,2.0,725.0,0.1,0.7,5.1,0.0,726.0
Western Negev,5.4,0.2,0.0,592.0,2.9,0.5,0.0,613.0,2.6,637.0,0.2,0.0,2.7,0.4,610.0,0.0,0.3,2.3,0.0,753.0
Yartan,8.8,1.6,0.1,635.0,4.3,0.7,0.0,772.0,4.3,903.0,0.7,0.0,4.7,0.8,886.0,0.0,1.0,4.3,0.0,942.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
